Nama Tempat,Status Operasional,Rating,Jumlah Ulasan,Alamat,Situs Web,Nomor Telepon,URL Google Maps,Latitude,Longitude
Kae.space,Tidak Tutup Permanen,"4,7",84,"utara, Jl. KH. Gholib Gg. Antara Jl. Pringadi No.42-A, RT./Rw/RW.01/01, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",instagram.com,0823-7738-5566,https://www.google.com/maps/place/Kae.space/data=!4m7!3m6!1s0x2e4733854535ff55:0xc0796fc86d037bc2!8m2!3d-5.3527366!4d104.9771619!16s%2Fg%2F11rcs57gnt!19sChIJVf81RYUzRy4RwnsDbchvecA?authuser=0&hl=id&rclk=1,-5.3527366,104.9771619
semesta coffee & space,Tidak Tutup Permanen,"4,1",159,"Jl. Ahmad Yani No.726, Bulukarto, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,N/A,https://www.google.com/maps/place/semesta+coffee+%26+space/data=!4m7!3m6!1s0x2e473335df9b8ce1:0x4e91bd8f19346ae8!8m2!3d-5.3622764!4d104.999248!16s%2Fg%2F11qpdz5vwc!19sChIJ4Yyb3zUzRy4R6Go0GY-9kU4?authuser=0&hl=id&rclk=1,-5.3622764,104.999248
Delapan Enam Coffee,Tidak Tutup Permanen,"4,6",176,"JXRP+F2X, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0812-7881-6086,https://www.google.com/maps/place/Delapan+Enam+Coffee/data=!4m7!3m6!1s0x2e47330f843cea4d:0x1db6db9fd86b5513!8m2!3d-5.3587714!4d104.9851105!16s%2Fg%2F11mbgnf3gj!19sChIJTeo8hA8zRy4RE1Vr2J_bth0?authuser=0&hl=id&rclk=1,-5.3587714,104.9851105
Coffee Lake,Tidak Tutup Permanen,"4,4",59,"Balong Kuring, Jl. Ahmad Yani, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0812-1860-0845,https://www.google.com/maps/place/Coffee+Lake/data=!4m7!3m6!1s0x2e4733396783c66f:0xe75b2781ea8e7726!8m2!3d-5.3588208!4d104.9869441!16s%2Fg%2F11h1kcx5pj!19sChIJb8aDZzkzRy4RJneO6oEnW-c?authuser=0&hl=id&rclk=1,-5.3588208,104.9869441
Kopi Janji Jiwa - Pringsewu,Tidak Tutup Permanen,"4,1",1042,"Dekat May Bank, Jl. Ahmad Yani No.188, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Kopi+Janji+Jiwa+-+Pringsewu/data=!4m7!3m6!1s0x2e473261d8d81197:0x3dd80d97c7bc8933!8m2!3d-5.3571002!4d104.9839321!16s%2Fg%2F11b6gqtm3t!19sChIJlxHY2GEyRy4RM4m8x5cN2D0?authuser=0&hl=id&rclk=1,-5.3571002,104.9839321
Cafe Pawon Sekeco,Tidak Tutup Permanen,"4,9",61,"M223+62X, Jl. Mekar Sari, RT./RW/RW.: 008, 008, Bulukarto, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35373",N/A,0822-7864-2045,https://www.google.com/maps/place/Cafe+Pawon+Sekeco/data=!4m7!3m6!1s0x2e47334524943c6d:0x56d9023545dc0165!8m2!3d-5.3493967!4d105.0026042!16s%2Fg%2F11l5vcwnbj!19sChIJbTyUJEUzRy4RZQHcRTUC2VY?authuser=0&hl=id&rclk=1,-5.3493967,105.0026042
TERRACE PRINGSEWU,Tidak Tutup Permanen,"4,2",119,"Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",theterracecafe.id,0895-3420-38187,https://www.google.com/maps/place/TERRACE+PRINGSEWU/data=!4m7!3m6!1s0x2e47332863edd7df:0x7e53b07b36ecd011!8m2!3d-5.3601096!4d104.9933209!16s%2Fg%2F11rwwtgtp4!19sChIJ39ftYygzRy4REdDsNnuwU34?authuser=0&hl=id&rclk=1,-5.3601096,104.9933209
Cafe ABC Gading Rejo,Tidak Tutup Permanen,"4,2",203,"J3J2+4CV, Jl. Raya Tulung Agung, Wonodadi, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,N/A,https://www.google.com/maps/place/Cafe+ABC+Gading+Rejo/data=!4m7!3m6!1s0x2e40cd5f0e126855:0x7c26247d2dd07387!8m2!3d-5.3696875!4d105.0510625!16s%2Fg%2F11f3fzfhkr!19sChIJVWgSDl_NQC4Rh3PQLX0kJnw?authuser=0&hl=id&rclk=1,-5.3696875,105.0510625
Cafe & Resto,Tidak Tutup Permanen,"5,0",2,"J2C8+7XX, Tambak Rejo, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0812-7883-4514,https://www.google.com/maps/place/Cafe+%26+Resto/data=!4m7!3m6!1s0x2e472d74338ad7e1:0x27564f576ce04d0d!8m2!3d-5.3792732!4d105.0174697!16s%2Fg%2F11g0gwwn8y!19sChIJ4deKM3QtRy4RDU3gbFdPVic?authuser=0&hl=id&rclk=1,-5.3792732,105.0174697
Kindjeng Cafe,Tidak Tutup Permanen,"4,5",74,"Jl. Raden Intan No.224, Wonodadi, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0812-8902-8965,https://www.google.com/maps/place/Kindjeng+Cafe/data=!4m7!3m6!1s0x2e40d333a42a611f:0x40736a4e5d40a49b!8m2!3d-5.3749923!4d105.0574599!16s%2Fg%2F11thkv2xhj!19sChIJH2EqpDPTQC4Rm6RAXU5qc0A?authuser=0&hl=id&rclk=1,-5.3749923,105.0574599
